codigo;descripcion;categoria
000100;ELEM MEDICO A CODIFICAR;Sin clasificar
000200;ELEMENTO DENEGADO;Sin clasificar
010000;NEUROQUIRURGICAS;Sin clasificar
010100;CLIPS P/ANEURISMA;Neurocirugía
010101;CLIPS P/ANEURISMA CER.TRANS/DEF T.MODEL;Neurocirugía
010200;VALVULAS DE TITANIO PARA HIDROCEFALIA;Neurología
010202;DRENAJE EXTERNO VENTRICULAR C/SIST.ANTI;CX General
010203;SISTEMA P/PLASTICA CRANEAL C/CEMENTO;Neurología
010204;SISTEMA NEURO ESTIMULADOR IMPLANTABLE;Neurología
010208;SISTEMA DRENAJE VENTRIC C/CAT EN ANTIB.;Neurología
010209;DRENAJE VENTRIC EXT C/CAT VENTR GRADUAD;Neurología
010215;GRAMPAS PARA CRANEOPLASTIA NAC.;Neurología
010216;GRAMPAS PARA CRANEOPLASTIA IMP.;Neurología
010218;VALVULAS DE DERIVACION VENTRICULO PERITONEAL (DVP);CX General
010219;ALQUILER MARCO ESTEREOTAXICO;Neurocirugía
010220;ALQUILER DE INSTRUMENTAL QIRÚRGICO;CX General
010221;VALVULA P/ HIDROCEFALIA PRESION FIJA BAJA MEDIA AL;Neurología
010222;VALVULA PARA HIDROCEFALIA AUTORREGULABLE;Neurología
010223;VALVULA PARA HIDROCEFALIA REGULABLE EXTERNA;Neurología
010300;TRAQUEOFLEX/CANULA TRAQUEOSTOMIA;CX General
010400;FIBRA OPTICA;Sin clasificar
010401;SET DE PRESION INTRACRANEANA IMP;Neurología
010402;FIBRA DE PIC PARA MEDICION INTRAPARENQUIMATOSA IMP;Neurología
010403;FIBRA DE PIC PARA MEDICION INTRAVENTRICULAR IMP;Neurología
010500;MALLA DE TITANIO PARA CRANEOPLASTIA;Neurología
010501;CASCO ORTOPEDICO;Ortopedia y Movilidad
010600;PARCHE DE DURAMADRE;Neurología
010601;PARCHE DE DURAMADRE 7,5 X 7,5 APROX MP;Neurología
010602;PARCHE DE DURAMADRE 10 X 10 APROX IMP;Neurología
010603;PARCHE DE DURAMADRE 10 X 15 APROX IMP;Neurología
010604;PARCHE DURAMADRE DE 5 X 5 APROX. NAC.;Neurología
010605;PARCHE DURAMADRE DE 5 X 5 APROX. IMP.;Neurología
010606;PARCHE DURA MADRE MEDIANO (HASTA 10X10) NAC;Neurología
010607;PARCHE DURA MADRE GRANDE (MAYOR 10X10) NAC;Neurología
010700;OSTEOSET C/INST Y SET COL A PRESTAMO;Osteosíntesis
011100;COLAGENO REABSOR (DYRAGEN);Neurología
011200;DISTRACTOR PARA CRANEOESTENOSIS;Neurología
011201;DISTRACTOR INTRAORAL MAXILAR SUPERIOR TODAS LAS ME;Osteosíntesis
011202;DISTRACTOR INTRAORAL MAXILAR INFERIOR TODAS LAS ME;Osteosíntesis
011203;DISTRACTOR PALATINO TODAS LAS MEDIDAS;Osteosíntesis
011600;CIERRE PARA CRANEOSPLATIA DE TITANIO IMP;Neurología
011601;CIERRE PARA CRANEOPLASTIA DE PEEK;Neurología
011602;CIERRE P/CRANEOPLASTIA DE TITANIO (H 3 PLACAS) NAC;Neurología
011603;CIERRE P/CRANEOPLASTIA DE TITANIO (H 3 PLACAS) IMP;Neurología
011800;SET DE CRANEOSTOMIA BIODEG PEDIATRICO;Neurología
011801;PROTESIS DE CIERRE DE SILLA TURCA;Neurología
011802;HALO CEFALICO CON CHALECO;Neurología
011803;SISTEMA DE TRACCION HALO SILLA - HALO CAMA;Neurología
020100;PROTESIS OCULARES;Oftalmología
020101;PROTESIS OCULAR OJO IZQUIERDO;Oftalmología
020102;PROTESIS OCULAR OJO DERECHO;Oftalmología
020200;SUTURAS OCULARES;Oftalmología
020201;SUTURA REABSORBIBLE DE ACIDO POLIGLICOLICO O POLIG;Oftalmología
020202;SUTURA NO REABSORBIBLE DE SEDA DE DISTINTOS DIAMET;Oftalmología
020203;SUTURA NO REABSORBIBLE DE NYLON DE DISTINTOS DIAME;Oftalmología
020300;BANDAS DE SILICONAS;Oftalmología
020301;PERFLUOROCARBONO 100% FLUORADO LIQUIDO (VIAL) PARA;Oftalmología
020302;AMPOLLAS DE ACEITE DE SILICONA;Oftalmología
020303;ESPONJA DE SILICONA (3X5 MM Y OTRAS MEDIDAS) PARA;Oftalmología
020400;LENTE INTRAOCULAR Y ELEMENTOS;Oftalmología
020401;L.I.O. OJO DERECHO Y ELEMENTOS;Oftalmología
020402;L.I.O. OJO IZQUIERDO Y ELEMENTOS;Oftalmología
020403;LENTE INTRAOCULAR OJO DERECHO;Oftalmología
020404;LENTE INTRAOCULAR OJO IZQUIERDO;Oftalmología
020405;L.I.O OD MONOFOCAL ACRILICO HIDROFILICO;Oftalmología
020406;L.I.O OI MONOFOCAL ACRILICO HIDROFILICO;Oftalmología
020500;SUSTANCIA VISCOELASTICA;Oftalmología
020701;LENTE P/VISION SUBNORMAL;Oftalmología
020704;INSUMOS DE CIRUGÍAS DE CATARATAS;Oftalmología
020718;DISPOSITIVO DE COMUNICACION CON VISUAL;Sin clasificar
020719;DISPOSITIVO MAGNIFICADOR PARA BAJA VISIÓN;Oftalmología
021101;SET TUBULADURA P/VITRECTOMIA;Oftalmología
021200;SET DE INTUBACION BICANALICULAR;CX General
021201;LENTE TERAUPEUTICO;Oftalmología
021202;VALVULA DE AMHED;Oftalmología
021203;SET DE TUBULADURA;Oftalmología
021204;OCLUSOR O TAPON LAGRIMAL DE SILICONA TIPO PUNCTUM;Oftalmología
021205;OCLUSOR LAGRIMAL TIPO PAINLESS PUG;Oftalmología
021300;CASCARILLA;Oftalmología
021400;TREPANO DONANTE Y RECEPTOR;Oftalmología
021401;TRÉPANO DE CÓRNEA DONANTE;Oftalmología
021402;TRÉPANO DE CÓRNEA RECEPTOR;Oftalmología
021500;ANILLOS INTRACORNEALES;Oftalmología
030001;VALVULA DE FONACION (MARCAS/MODELOS);CX General
030003;OXIMETRO PULSO PORTATIL CON/SIN ALARMA;CX General
030004;OXIMETRO DE PULSO FIJO (CON MONITOR NEONATAL, PEDI;CX General
030005;ASPIRADOR DE SECRECIONES PORTATIL;CX General
030006;ASPIRADOR DE SECRECIONES FIJO (A PISTON);CX General
030007;NEBULIZADOR PARA TRAQUEOSTOMIA;CX General
030008;NEBULIZADOR FIJO;CX General
030009;NEBULIZADOR DEVILBISS (TODOS LOS MODELOS);CX General
030100;AUDIFONOS;Audiología
030101;AUDIFONOS AMBOS OIDOS;Audiología
030102;AUDIFONO OIDO DERECHO;Audiología
030103;AUDIFONO OIDO IZQUIERDO;Audiología
030104;AUDIFONO B.A.H.A. CON VINCHA;Audiología
030110;PILAS DE AUDÍFONOS;Audiología
030111;PASTILLAS DESHUMIDIFICADORAS PARA AUDÍFONOS;Audiología
030112;ACCESORIO PARA AUDIFONO;Audiología
030200;DIABOLOS Y TUBOS DE VENT.P/OIDO MEDIO;CX General
030201;VALVULA VENTIL OTICA(DIABOLO)SILIC/FLUO;CX General
030300;PROTESIS PARA OIDO MEDIO;Audiología
030400;EQUIPO IMPLANTE COCLEAR;Audiología
030401;CALIBRACION DEL IMP.COCLEAR;Audiología
030402;PILAS P/IMPLANTE COCLEAR/PASTILLA DESHU;CX General
030403;REPARACION IMPLANTE COCLEAR;Audiología
030404;CABLE PARA IMPLANTE COCLEAR;Audiología
030407;PASTILLAS DESHUMIFICADORAS;Audiología
030408;ACCESORIOS PARA IMPLANTE COCLEAR;Audiología
030409;BATERIAS PARA IMPLANTE COCLEAR;Audiología
030410;BOBINA PARA IMPLANTE COCLEAR;Audiología
030411;FILTROS PARA MICROFONOS (IMPLANTE COCLEAR);Audiología
030500;NEBULIZADOR Y ASPIRADOR;CX General
030600;PROTESIS AURICULAR;CX General
030700;LARINGOFONO;CX General
030800;FILTROS PARA LARINGUECTOMIZADOS;CX General
030900;SET TRAQUEOSTOMIA;CX General
030901;SET DE TRAQUEOSTOMIA PERCUTANEA;CX General
031100;SONDA PARA ASPIRACION DE TRAQUEOTOMIA;CX General
031101;FILTRO PARA TRAQUEOTOMIA;CX General
031106;TUBO EN T DE MONTGOMERY;CX General
031200;REPARACION DE AUDIFONO;Audiología
031300;CHALECO VIBRATORIO;CX General
040108;PERNO MUÑON SIMPLE;CX General
050101;TUBO ENDOTRAQUEAL SELECTIVO;CX General
060120;COMPRAS - PROTESIS MAMARIA TERMOCONFORMADA EXTERNA;CX General
060200;PROTESIS MAMARIA SILICONADA INTERNA;CX General
060201;PROTESIS MAMARIA SILICONADA INTERNA REDONDA LISA;CX General
060300;PROT EXTERNA RELLENO CORP SILICONADA;CX General
060301;B.E.AUDIFONO O.D.;Audiología
060302;B.E.AUDIFONO O.I;Audiología
060303;B.E.AUDIFONO B.A.H.A. CON VINCHA;Audiología
060400;EXPANSOR MAMARIO Y OTROS;CX General
070100;MARCAPASO DEFINITIVO;Cardiología
070101;MARCAPASO DEFINITIVO VVI C/CATETERES;Cardiología
070102;CATETER ELECTRODO ENDOCAV VVI/DDD/VDD/CDI/OTRO;Cardiología
070103;MARCAPASOS DEFINIT. VVIR C/CATETERES;Cardiología
070104;MARCAPASOS DDD C/CATET. AURIC. FIJ. ACT;Cardiología
070105;MARCAPASOS DDDR C/CAT. VENT/AUR FIJ ACT;Cardiología
070106;MARCAPASOS VDDR MONOCATETER CUADRIPOLAR;Cardiología
070108;INTRODUCTOR PEEL AWAY;Cardiología
070113;MARCAPASO MULTIPROG BICAM DDDR PROG FRE;Cardiología
070116;CATETER EPICARDICO PARA MPD;Cardiología
070117;CATETER P/SENO CORONARIO (P/RESINCRON);Cardiología
070201;PROTESIS VALV. CARD. MECAN. BIVALVA;Cardiología
070205;ANILLO PARA VALVULOPLASTIA;Cardiología
070206;VALVULOTOMO;Cardiología
070207;VALVULA MEC POSICION AORTICA T/MEDIDAS;Cardiología
070208;VALVULA MEC POSICION MITRAL T/MEDIDAS;Cardiología
070209;VALVULA BIOL POSICION AORTICA T/MEDIDAS;Cardiología
070210;VALVULA BIOL POSICION MITRAL T/MEDIDAS;Cardiología
070211;TUBO VALVULADO AORTICO EN T/MEDIDAS;Cardiología
070213;VALVULA AORT IMPLANTE TRANSCATETER TAVI;Cardiología
070300;PROTESIS VASCULAR;Cardiología
070400;PROTESIS ARTERIALES;Cardiología
070403;PROT.ART.DACRON KNITTED REC. 6/8/10X60;Cardiología
070405;PROT.ART.DACRON WOVEN BIFURCADAS TOD ME;Cardiología
070406;PROT.ART.DACRON KNITTED BIFURC. TOD MED;Cardiología
070407;PROT.ART.DACRON REC.POROS.0 PREC 6/8/10;Cardiología
070408;PROT.ART.DACRON REC.POROS.0 PREC 12/30;Cardiología
070409;PROT.ART.DACRON BIFURC.POR. 0 PREC. T.M;Cardiología
070416;PROT. ART.DACRON WOVEN REC. 6/8/10 X70;Cardiología
070417;PROT.ART.DACRON KNITTED REC 6/8/10 X70;Cardiología
070425;PROTESIS ART PTFE REC. ANILLADA 6 X 45;Cardiología
070426;PROTESIS ART PTFE REC. ANILLADA 6 X 70;Cardiología
070427;PROTESIS ART PTFE REC. ANILLADA 6 X 80;Cardiología
070503;FILTRO DE PROTECCION DISTAL/CEREBRAL;Cardiología
070504;FILTRO VENA CAVA C/INTROD YUG.Y FEMORAL;Cardiología
070505;FILTRO DE VENA CAVA INFERIOR FIJO O NO REMOVIBLE C;Cardiología
070506;FILTRO DE VENA CAVA INFERIOR REMOVIBLE CON SET DE;Cardiología
070507;SISTEMA DE EXTRACCION DE FILTRO DE VENA CAVA INFER;Cardiología
070600;HEMOCLIPS;CX General
070700;CLIPS - LIGACLIPS;CX General
070801;SISTEMA CIERRE PERCUTANEO VASCULAR EN T.A.V.I.;Cardiología
070802;SISTEMA DE CIERRE VASCULAR (SUTURA POLIPROPILENO Y;Cardiología
070900;CATETER BALON PARA VALVULOPLASTIA;Cardiología
070901;CATETER BALON PARA CONTRAPULSACION INTRA AORTICA C;Cardiología
071000;CATETER BALON P/ANGIOPLASTIA CORONARIA;Cardiología
071300;CATETERES;Cardiología
071301;PORT A CATH;Cardiología
071303;CATETER SEMI-IMPLANTABLE TIPO HICKMAN O BROVIAC P;Cardiología
071304;CATETER VENOSOS CENTRALES DE INSERCION PERIFERICA;Cardiología
071305;CATETER BALON DE OCLUSION PARA MALFORMACIONES;Cardiología
071306;CATETER BALON DE OCLUSION PARA ANEURISMA CEREBRAL;Cardiología
071307;CATETER PARA TROMBECTOMIA;Cardiología
071308;CATETER BALON SIN DROGA P ANGIOPLASTIA ART INFRAPA;Cardiología
071309;BIOTOMO PARA BIOPSIA ENDOMIOCADICA;Cardiología
071310;CATETER PARA EMBOLECTOMIA ARTERIAL PERISFERICA;Cardiología
071311;CATETER VENOSOS CENTRALES DE INSERCION DOBLE LUMEN;CX General
071400;TUBULADURAS;Oxigenoterapia
071401;CONECTORES PARA TUBULADURAS;Oxigenoterapia
071402;SONDAS PARA ASPIRACION;Oxigenoterapia
071403;SONDAS PARA ASPIRACION;Oxigenoterapia
071600;CANULAS AORTICAS;Cardiología
071700;CANULAS VENOSAS;Cardiología
071701;PARCHE;Sin clasificar
071900;VENDAS Y MEDIAS ELASTICAS;Ortopedia y Movilidad
072000;STENT CORONARIO;Cardiología
072002;STENT PERIFERICOS;Cardiología
072005;STENT CORONARIO CONV ACERO T/MEDIDAS;Cardiología
072007;STENT CORONARIO C/LIBER DROGA T/MEDIDA;Cardiología
072008;STENT PERIFERICO EXPANDIBLE POR BALON;Cardiología
072009;STENT PERIFERICO AUTOEXPANDIBLE;Cardiología
072010;STENT INTRACRANEANO EXPANDIBLE P/BALON;Cardiología
072011;STENT INTRACRANEANO AUTOEXPANDIBLE;Cardiología
072013;STENT PREF CAROTIDEO AUTOEXPANDIBLE;Cardiología
072014;STENT CAROT AUTOEXP NITINOL C/FIL.PROT.;Cardiología
072017;SHUNT CAROTIDEO;Cardiología
072019;BALON LIBERADOR DROGA P/ANGIOPLAS MMII;Cardiología
072020;ENDOPROT DIVERSORA FLUJO P/ANEUR CEREB;Cardiología
072021;STENT CUBIERTO P ANEURISMA ART PERI AUTOEXPANDIBLE;Cardiología
072022;STENT VENOSO;Cardiología
072023;BALONES;Cardiología
072024;BALON LIBERADOR DROGA PARA ANGIOPLASTIA CORONARIA;Cardiología
072025;STENT FORRADO P ANEURISMA ART. PERIFERICO BALON EX;Cardiología
072026;SIST MAPEO C CAT ABLACION IRR P RADIOFREC. C PARCH;Cardiología
072027;SIST CRIO ABLA VENAS PUL (CAT BAL CON INTR CONSOLA;Cardiología
072028;SIST CRIO ABL FOCAL (CAT -CON-INTRODUCT.-CONSOLA);Cardiología
072102;CARDIODESF UNICAM VVI C/CAT ELEC ENDOC;Cardiología
072103;CARDIODESF BICAM DDD C/CAT ELEC ENDOCAV;Cardiología
072105;CARDIODESFIBRILADOR UNICAM VVI;Cardiología
072107;CARDIODESF C/CAP DE RESINCRONIZ C/CAT;Cardiología
072108;VAINA Y ESTILETE PARA EXTRACCION DE CATETER ELECTR;Cardiología
072109;SET PUNCION TRANS ABLAC ARRIT AGUJA PUN;Cardiología
072110;SET PUNCION TRANSEPTAL PARA ABLACION DE ARRITMIAS;Cardiología
072300;SET P /VARICES ESOFAGICA;Cardiología
072500;OTROS STENT;Cardiología
072503;DISPOSITIVO OCLUSOR PARA CIERRE DE CIA;Cardiología
072504;DISPOSITIVO OCLUSOR PARA CIERRE DE DUCTUS ARTERIOS;Cardiología
072505;DISPOSITIVO OCLUSOR PARA CIERRE DE COMUNICACION IN;Cardiología
072506;DISPOSITIVO OCLUSOR PARA OREJUELA IZQUIERDA EN TOD;Cardiología
072600;ENDOPROTESIS;Cardiología
072602;ENDOP EXCL AORT ABDO MONO C/FIJ SUPRA;Cardiología
072603;ENDOP EXCL AORT TORACICA T/MED;Cardiología
072604;ENDOP EXCL AORT ABDO BIF S/EX ILI C/FS;Cardiología
072605;ENDOP EXCL AORT ABDO BIF C/EX ILI C/FS;Cardiología
072606;EXTENSIONES DE ENDOPROTESIS UNI-ILIACA;Cardiología
072608;DISPOSITIVO OCLUSOR VASCULAR ARTERIAL;Cardiología
072609;COILS P/EMBOLIZACION ART PERIF T/MED;Cardiología
072610;ENDOP EXCL AORT ABDO CON/FIJ SUPRA;Cardiología
072611;ENDOP EXCL AORT ABDO SIN/FIJ SUPRA;Cardiología
072612;ENDOP EXCL AORT ABDO MONO S/FIJ SUPRA;Cardiología
072613;ENDOP EXCL AORT ABDO BIF S/EX ILI S/FS;Cardiología
072614;ENDOP EXCL AORT ABDO BIF C/EX ILI S/FS;Cardiología
072701;RESINCRONIZADOR C/CATETER ELECTRODO;Cardiología
072800;PARTICULAS EMBOLIZACION;Cardiología
072801;PARTICULAS DE EMBOLIZACION (ESFERAS) QUIMIOEMBOLI;Cardiología
072802;AGENTES EMBOLIZANTES;Cardiología
072900;PARCHES;Cardiología
072901;PARCHE DE TEFLON;Cardiología
072902;PARCHE DE PTFE;Cardiología
072903;PARCHE DE DACRON;Cardiología
072905;CEMENTO BIOLOGICO;Cardiología
072906;PARCHE PTFE CAROTIDA MED 1X9X0,5;Cardiología
072907;PARCHE PTFE CARDIOVASCULAR 5X7,5X0,5;Cardiología
072908;PARCHE DE PERICARDIO BOVINO;Cardiología
080100;PROTESIS DE ESOFAGO;CX General
080201;MALLA DE POLIPROPILENO DE 8 X 13 IMP;CX General
080202;MALLA DE POLIPROPILENO DE 7 X 12;CX General
080204;MALLA DE POLIPROPILENO DE 15 X 15 IMP;CX General
080206;MALLA DE POLIPROPILENO DE 30 X 30 IMP;CX General
080210;MALLA P/EVENT.CONTACTO/VISCERAS MED;CX General
080211;MALLA P/EVENT.CONTACTO/VISCERAS GRANDE;CX General
080212;MALLA DE POLIPROPILENO DE 20 X 30 IMP;CX General
080213;MALLA DE POLIPROPILENO DE 15 X 15 NAC;CX General
080214;MALLA DE POLIPROPILENO 30 X 30 NAC;CX General
080300;MALLA GOROTEX O PTFE;CX General
080400;SUTURA MECANICA;CX General
080401;SUTURA MECANICA CIRCULAR;CX General
080404;SUTURA MECANICA LINEAL CORTANTE;CX General
080405;SURGI CLIPS;CX General
080407;CARTUCHO PARA SUTURA LINEAL CORTANTE;CX General
080409;SUTURA MEC. LIN CURVA CORTA(DIF. MED);CX General
080410;ENDOSUTURA LINEAL (DIF. MEDIDAS);CX General
080412;CARTUCHOS ENDOSUTURA LINEAL;CX General
080413;CARTUCHO PARA SUTURA LIN CURVA CORTANTE;CX General
080415;CLIPS PARA LIGADURA ENDOSCOPICA ALTA O BAJA;CX General
080500;BOTON PARA GASTROTOMIA ALIMENTACION;CX General
080501;SET DE GASTROTOMIA;CX General
080502;BOTON DE GASTROSTOMIA CON O SIN BALON;CX General
080503;B.GAST SILASTIC C/BAL INT FIJ(DIF. MED);CX General
080504;SET DE GASTROSTOMIA ENDOSCOPICO;CX General
080505;SET GASTASTROST. ENDOSC. PERCUT. C/SET INTROD.;CX General
080506;SET DE GRASTROYEYMOSTOMIA;CX General
080507;SET LIGAD ENDOS.VARICEAL MULTIB (6 B.);CX General
080508;CONECT Y PROLON NUT.ENTERAL X B GASTRIC;CX General
080601;BOLSAS DE COLOSTOMIA;CX General
080602;BOLSAS DE ILEOSTOMIA;CX General
080603;BOLSAS DE UROSTOMIA;CX General
080802;SET DE GASTROSTOMIA RADIOLOGICA;CX General
080900;CANASTA DE DORMIA;CX General
080901;PINZA DESC/HOT BIOPSY;CX General
081100;ANILLO BIOFRAGMENTABLE;CX General
081200;SET BANDAS P/VARICES;CX General
081201;KIT DE MUCOSECTOMIA CON CLIP;CX General
081202;KIT DE MUCOSECTOMIA SIN CLIP;CX General
081300;SET DE DRENAJE BILIAR PERCUTANEO;CX General
081301;HILO GUIA;CX General
081302;SET INTRODUCTOR DE DAGOSTINO;CX General
081303;CAT.DRENAJE MULTIP PIG TAIL SKATER 14F;CX General
081304;SET DE DRENAJE MULTIPROPOSITO;CX General
081305;SET BIL.INT/EXT HIDROF 2 2FR SELLINGER;CX General
081306;HILO GUÍA PARA ENDOPRÓTESIS BILIARES;CX General
081400;SET DE DERIVACION ABDOMINAL;CX General
081500;BALON NEUMATICO P/DILATACION ESOFASTICA;CX General
081501;SET BALON NEUMAT DILAT TRANSENDOS CRR;CX General
081502;SET DE BALÓN DILATADOR NEUMÁTICO PERCUTÁNEO;CX General
081503;BALÓN PARA COMPRESIÓN DEL V PAR;CX General
081600;STENT BILIAR;CX General
082000;ENDOPROTESIS BILIAR PLASTICA (TEFLON, POLIURETANO;CX General
082001;ENDOPROTESIS BILIAR METALICO (EN TODAS SUS MEDIDAS;CX General
082002;ENDOPROTESIS-STENT ESOFAGICO (DIFERENTES MEDIDAS);CX General
082003;ENDOPROTESIS BILIAR PLASTICA (TEFLON, POLIURETANO;CX General
082004;ENDOPROTESIS BILIAR METALICO INTRODUCT. PERCUTANEO;CX General
082100;TUBO DE GASTROSTOMIA (EN TODOS SUS DIAMETROS);CX General
090000;SUTURAS;CX General
100100;PROTESIS TESTICULAR;CX General
100101;SUSTANCIA INYECTABLE PARA REFLUJO VESICOURETERAL;CX General
100400;CATETERES VESICALES;CX General
100401;CAT IMPL P/QUIM C/VAL ANTIR C/EXT DISTA;CX General
100402;CAT IMPL T/PORT UNITIZADO TIT E INTROD;CX General
100500;SONDAS VESICALES A PERMANENCIA;Enfermería
100505;SONDA FOLEY 2 VIAS (DIF MED);Enfermería
100517;COMPRAS - SONDA DE FOLEY SILICONADA;Enfermería
100601;COMPRAS - BOLSA COLECTORA DE ORINA 2L;Enfermería
100608;BOLSAS COLECTORAS DE ORINA PARA PIERNA;CX General
100712;COMPRAS - PANAL ADULTO CON GEL (UNIDAD);Enfermería
100713;COMPRAS - PANAL ADULTO ELASTIZADO CON GEL (UNIDAD);Enfermería
100721;COMPRAS - PANAL INFANTIL ELASTIZADO C/ GEL(UNIDAD);Enfermería
100732;COMPRAS - PANAL JUVENIL CON GEL (UNIDAD);Enfermería
100733;COMPRAS - PANAL ELASTIZADO CON GEL (UNIDAD);Enfermería
100800;CHAPEAU (DISPOSITIVO P/INCONTINENCIA);Enfermería
100900;COLAGENO BARD;CX General
101100;BOLSA DE UROSTOMIA;CX General
101200;CATETER URETERAL DOBLE J;CX General
101201;CATETER DOBLE J DE 26 FR X 6 CM;CX General
101202;CATETER DOBLE J 6FR X 2,7-HIDROF G.H.;CX General
101203;CATETER DOB J PUNT AB. C/ALAM G/7FRX28;CX General
101204;CATETER DOBLE JOTA 4.8 PUNTA CERRADA;CX General
101205;CATÉTER DOBLE J GUIA TÉFLON;CX General
101206;CATETER DOBLE J HIDROFIL. Y GUIA DE LARGA DURACION;CX General
101301;SLING URINARIO MASCULINO;CX General
101302;ESFINTER URINARIO ARTIFICIAL;CX General
101303;SLING URINARIO FEMENINO SUPRAPUBICO;CX General
101400;MALLA P/CIRUGIA PROLAPSO ANT O SISTOCEL;CX General
101401;MALLA P/CIRUGIA PROLAPSO POS O RECTOCEL;CX General
101402;MALLA P/CIRUGIA INCONT URIN. FEM SLING;CX General
101403;SET O KIT COMPLETO DE ARPONES PARA COLPOPEXIA VAGI;CX General
110000;DISPOSITIVO INTRAUTERINO;CX General
120000;TRAUMATOLOGIA;Sin clasificar
120100;PEGAMENTO QUIRURGICO;Osteosíntesis
120306;COTILO DE METAL TRABECULAR MULTIPERFORADO PARA REV;Prótesis
120307;SUTURA ALTA RESISTENC NO REABS FIREWIRE;Osteosíntesis
120307;SUTURA DE ALTA RESISTENCIA NO REABSORBIBLE TIPO FI;Osteosíntesis
120308;SUTURA DE ALTA RESISTENCIA NO REABSORBIBLE TIPO FI;Osteosíntesis
120309;SUTURA DE ALTA RESISTENCIA NO REABSORBIBLE IMP.;Osteosíntesis
120400;PROTESIS DE CADERA NO CEMENTADA;Prótesis
120508;PROT TOT CADERA REVISION Y DESCARTABLES;Prótesis
120607;CUÑAS P/PROT. DE REV DIFERENTES TAM.X2;Prótesis
120700;PROTESIS DE OTRAS ARTICULACIONES;Prótesis
120701;PROT. DE OTRAS ARTICULAC. Y DESCARTAB.;Prótesis
120704;METACARPIANO.;Prótesis
120801;OSTEOSINTESIS Y DESCARTABLES;Osteosíntesis
120802;BARRA DE NUSS PARA PECTUS EXCAVATUM;Osteosíntesis
120807;PLACA MALEAB. 1/3 TUBO 3,5MM DIAM C/TOR;Osteosíntesis
120908;TORNILLOS IMF NAC;Osteosíntesis
120909;TORNILLOS IMF IMP;Osteosíntesis
121002;SIST.RECTROESTERNAL P/PETUS;Osteosíntesis
121100;PROTESIS DE AMPUTACION;Ortopedia y Movilidad
121200;PILON DE MARCHA;Ortopedia y Movilidad
121300;MATERIAL P/CIRUG.COLUMNA(SIS.LUQUE/OTR);Neurología
121310;MESH PARA REEMPLAZO DE CUERPO VERTEBRAL;Neurología
121317;CAGE INTERSOMATICO;Neurología
121318;MAT P/CIRUG COLUMNA Y DESCARTABLES;Neurología
121319;CAGE LUMBAR TECNICA TLIF(1 X NIVEL) NAC;Neurología
121320;CAGE LUMBAR TECNICA TLIF(1 X NIVEL) IMP;Neurología
121321;CAGE CERVICAL NAC;Neurología
121322;CAGE CERVICAL IMP;Neurología
121323;CAGE CERVICAL AUTOBLOQ TORN-PIN Y OT N;Neurología
121324;CAGE CERVICAL AUTOBLOQ TORN-PIN Y OT I;Neurología
121325;ARTROPLASTIA DISCO CERVICAL 1 NIV N;Neurología
121326;ARTROPLASTIA DISCO CERVICAL 1 NIV I;Neurología
121327;DOSIS DE HUESO AUTOLOGO DE BANCO EN CHIPS;Osteosíntesis
121328;CABEZA FEMORAL ESTRUCTURADA;Osteosíntesis
121329;INJERTO TRICORTICAL DE CRESTA ILIACA;Osteosíntesis
